league,player_id,salary,season,season_end,season_start,team
NBA,abdursh01,10130000,2000-01,2001,2000,Vancouver Grizzlies
NBA,abdursh01,11250000,2001-02,2002,2001,Atlanta Hawks
NBA,abdursh01,12375000,2002-03,2003,2002,Atlanta Hawks
NBA,abdursh01,13500000,2003-04,2004,2003,Atlanta Hawks
NBA,abdursh01,14625000,2004-05,2005,2004,Portland Trail Blazers
NBA,abdursh01,5000000,2005-06,2006,2005,Sacramento Kings
NBA,abdursh01,5400000,2006-07,2007,2006,Sacramento Kings
NBA,abdursh01,5800000,2007-08,2008,2007,Sacramento Kings
NBA,abdursh01,6600000,2009-10,2010,2009,Sacramento Kings
NBA,abrinal01,5994764,2016-17,2017,2016,Oklahoma City Thunder
NBA,abrinal01,5725000,2017-18,2018,2017,Oklahoma City Thunder
NBA,ackeral01,398762,2005-06,2006,2005,Detroit Pistons
NBA,ackeral01,839209,2006-07,2007,2006,Detroit Pistons
NBA,ackeral01,711517,2008-09,2009,2008,Los Angeles Clippers
NBA,acresma01,75000,1987-88,1988,1987,Boston Celtics
NBA,acresma01,300000,1988-89,1989,1988,Boston Celtics
NBA,acresma01,437000,1990-91,1991,1990,Orlando Magic
NBA,acresma01,547000,1991-92,1992,1991,Orlando Magic
NBA,acresma01,250000,1992-93,1993,1992,Houston Rockets
NBA,acyqu01,665000,2012-13,2013,2012,Toronto Raptors
NBA,acyqu01,788872,2013-14,2014,2013,Toronto Raptors
NBA,acyqu01,915243,2014-15,2015,2014,New York Knicks
NBA,acyqu01,981348,2015-16,2016,2015,Sacramento Kings
NBA,acyqu01,1914544,2016-17,2017,2016,Brooklyn Nets
NBA,acyqu01,1050961,2016-17,2017,2016,Dallas Mavericks
NBA,acyqu01,1709538,2017-18,2018,2017,Brooklyn Nets
NBA,adamsal01,500000,1984-85,1985,1984,Phoenix Suns
NBA,adamsal01,600000,1985-86,1986,1985,Phoenix Suns
NBA,adamsal01,675000,1987-88,1988,1987,Phoenix Suns
NBA,adamsha01,412718,2006-07,2007,2006,New Jersey Nets
NBA,adamsha01,297163,2008-09,2009,2008,Los Angeles Clippers
NBA,adamsjo01,1344120,2014-15,2015,2014,Memphis Grizzlies
NBA,adamsjo01,1404600,2015-16,2016,2015,Memphis Grizzlies
NBA,adamsjo01,1465080,2016-17,2017,2016,Memphis Grizzlies
NBA,adamsmi01,85000,1985-86,1986,1985,Sacramento Kings
NBA,adamsmi01,160000,1987-88,1988,1987,Denver Nuggets
NBA,adamsmi01,375000,1988-89,1989,1988,Denver Nuggets
NBA,adamsmi01,825000,1990-91,1991,1990,Denver Nuggets
NBA,adamsmi01,1309000,1991-92,1992,1991,Washington Bullets
NBA,adamsmi01,1309000,1992-93,1993,1992,Washington Bullets
NBA,adamsmi01,1309000,1993-94,1994,1993,Washington Bullets
NBA,adamsmi01,1240000,1994-95,1995,1994,Charlotte Hornets
NBA,adamsst01,2090880,2013-14,2014,2013,Oklahoma City Thunder
NBA,adamsst01,2184960,2014-15,2015,2014,Oklahoma City Thunder
NBA,adamsst01,2279040,2015-16,2016,2015,Oklahoma City Thunder
NBA,adamsst01,3140517,2016-17,2017,2016,Oklahoma City Thunder
NBA,adamsst01,22471910,2017-18,2018,2017,Oklahoma City Thunder
NBA,addisra01,311000,1991-92,1992,1991,New Jersey Nets
NBA,addisra01,522000,1992-93,1993,1992,New Jersey Nets
NBA,addisra01,250000,1994-95,1995,1994,Detroit Pistons
NBA,addisra01,360000,1995-96,1996,1995,Charlotte Hornets
NBA,addisra01,290000,1996-97,1997,1996,Charlotte Hornets
NBA,adebaba01,2490360,2017-18,2018,2017,Miami Heat
NBA,adrieje01,342666,2010-11,2011,2010,Golden State Warriors
NBA,adrieje01,270427,2011-12,2012,2011,Houston Rockets
NBA,adrieje01,804131,2012-13,2013,2012,Charlotte Bobcats
NBA,adrieje01,916099,2013-14,2014,2013,Charlotte Bobcats
NBA,adrieje01,981084,2014-15,2015,2014,Houston Rockets
NBA,afflaar01,944520,2007-08,2008,2007,Detroit Pistons
NBA,afflaar01,1015440,2008-09,2009,2008,Detroit Pistons
NBA,afflaar01,1086240,2009-10,2010,2009,Denver Nuggets
NBA,afflaar01,1959577,2010-11,2011,2010,Denver Nuggets
NBA,afflaar01,7562500,2011-12,2012,2011,Denver Nuggets
NBA,afflaar01,7750000,2012-13,2013,2012,Orlando Magic
NBA,afflaar01,7312500,2013-14,2014,2013,Orlando Magic
NBA,afflaar01,7750000,2014-15,2015,2014,Portland Trail Blazers
NBA,afflaar01,8000000,2015-16,2016,2015,New York Knicks
NBA,afflaar01,12500000,2016-17,2017,2016,Sacramento Kings
NBA,afflaar01,1500000,2017-18,2018,2017,Sacramento Kings
NBA,afflaar01,1471382,2017-18,2018,2017,Orlando Magic
NBA,agerma01,906480,2006-07,2007,2006,Dallas Mavericks
NBA,agerma01,974400,2007-08,2008,2007,New Jersey Nets
NBA,agerma01,1042440,2008-09,2009,2008,New Jersey Nets
NBA,agerma01,83305,2010-11,2011,2010,Minnesota Timberwolves
NBA,aguirma01,800000,1984-85,1985,1984,Dallas Mavericks
NBA,aguirma01,626240,1985-86,1986,1985,Dallas Mavericks
NBA,aguirma01,715700,1987-88,1988,1987,Dallas Mavericks
NBA,aguirma01,715700,1988-89,1989,1988,Dallas Mavericks
NBA,aguirma01,1115000,1990-91,1991,1990,Detroit Pistons
NBA,aguirma01,1232000,1991-92,1992,1991,Detroit Pistons
NBA,aguirma01,1351000,1992-93,1993,1992,Detroit Pistons
NBA,aguirma01,1471000,1993-94,1994,1993,Detroit Pistons
NBA,aguirma01,150000,1993-94,1994,1993,Los Angeles Clippers
NBA,ahearbl01,125562,2008-09,2009,2008,San Antonio Spurs
NBA,aingeda01,400000,1984-85,1985,1984,Boston Celtics
NBA,aingeda01,550000,1985-86,1986,1985,Boston Celtics
NBA,aingeda01,625000,1987-88,1988,1987,Boston Celtics
NBA,aingeda01,675000,1988-89,1989,1988,Boston Celtics
NBA,aingeda01,725000,1990-91,1991,1990,Portland Trail Blazers
NBA,aingeda01,725000,1991-92,1992,1991,Portland Trail Blazers
NBA,aingeda01,1330000,1992-93,1993,1992,Phoenix Suns
NBA,aingeda01,1690000,1993-94,1994,1993,Phoenix Suns
NBA,aingeda01,2080000,1994-95,1995,1994,Phoenix Suns
NBA,ajincal01,1276320,2008-09,2009,2008,Charlotte Bobcats
NBA,ajincal01,1372080,2009-10,2010,2009,Charlotte Bobcats
NBA,ajincal01,1467840,2010-11,2011,2010,Toronto Raptors
NBA,ajincal01,981084,2014-15,2015,2014,New Orleans Pelicans
NBA,ajincal01,4300000,2015-16,2016,2015,New Orleans Pelicans
NBA,ajincal01,4600000,2016-17,2017,2016,New Orleans Pelicans
NBA,ajincal01,4961798,2017-18,2018,2017,New Orleans Pelicans
NBA,akognjo01,788872,2013-14,2014,2013,Memphis Grizzlies
NBA,alabiso01,770000,2010-11,2011,2010,Toronto Raptors
NBA,alabiso01,830000,2011-12,2012,2011,Toronto Raptors
NBA,alarima01,232500,1987-88,1988,1987,Washington Bullets
NBA,alarima01,250000,1988-89,1989,1988,Washington Bullets
NBA,alarima01,500000,1990-91,1991,1990,Washington Bullets
NBA,alarima01,550000,1991-92,1992,1991,Washington Bullets
NBA,aldemfu01,3000000,2014-15,2015,2014,Philadelphia 76ers
NBA,aldemfu01,3000000,2015-16,2016,2015,Philadelphia 76ers
NBA,aldrico01,2126520,2010-11,2011,2010,Oklahoma City Thunder
NBA,aldrico01,2286000,2011-12,2012,2011,Oklahoma City Thunder
NBA,aldrico01,2445480,2012-13,2013,2012,Sacramento Kings
NBA,aldrico01,981084,2014-15,2015,2014,New York Knicks
NBA,aldrico01,1100600,2015-16,2016,2015,Los Angeles Clippers
NBA,aldrico01,7643979,2016-17,2017,2016,Minnesota Timberwolves
NBA,aldrico01,7300000,2017-18,2018,2017,Minnesota Timberwolves
NBA,aldrila01,4027320,2006-07,2007,2006,Portland Trail Blazers
NBA,aldrila01,4329360,2007-08,2008,2007,Portland Trail Blazers
NBA,aldrila01,4631400,2008-09,2009,2008,Portland Trail Blazers
NBA,aldrila01,5844827,2009-10,2010,2009,Portland Trail Blazers
NBA,aldrila01,11244000,2010-11,2011,2010,Portland Trail Blazers
NBA,aldrila01,12372000,2011-12,2012,2011,Portland Trail Blazers
NBA,aldrila01,13500000,2012-13,2013,2012,Portland Trail Blazers
NBA,aldrila01,14128000,2013-14,2014,2013,Portland Trail Blazers
NBA,aldrila01,16006000,2014-15,2015,2014,Portland Trail Blazers
NBA,aldrila01,19500000,2015-16,2016,2015,San Antonio Spurs
NBA,aldrila01,20575005,2016-17,2017,2016,San Antonio Spurs
NBA,aldrila01,21461010,2017-18,2018,2017,San Antonio Spurs
NBA,alexacl01,525093,2015-16,2016,2015,Portland Trail Blazers
NBA,alexacl01,51449,2016-17,2017,2016,Brooklyn Nets
NBA,alexaco01,490000,1995-96,1996,1995,San Antonio Spurs
NBA,alexaco01,521000,1996-97,1997,1996,San Antonio Spurs
NBA,alexaco01,562380,1997-98,1998,1997,San Antonio Spurs
NBA,alexaco01,1980000,1999-00,2000,1999,Denver Nuggets
NBA,alexaco01,2160000,2000-01,2001,2000,Denver Nuggets
NBA,alexaco01,1995741,2001-02,2002,2001,Denver Nuggets
NBA,alexaco01,2149259,2002-03,2003,2002,Denver Nuggets
NBA,alexaco01,2302778,2003-04,2004,2003,Denver Nuggets
NBA,alexaco02,1319400,2000-01,2001,2000,Dallas Mavericks
NBA,alexaco02,1418400,2001-02,2002,2001,Washington Wizards
NBA,alexaco02,1517280,2002-03,2003,2002,New Orleans Hornets
NBA,alexaco02,2168193,2003-04,2004,2003,New Orleans Hornets
NBA,alexaco02,79029,2004-05,2005,2004,Sacramento Kings
NBA,alexaga01,150000,1994-95,1995,1994,Cleveland Cavaliers
NBA,alexajo01,2403120,2008-09,2009,2008,Milwaukee Bucks
NBA,alexajo01,2583360,2009-10,2010,2009,Chicago Bulls
NBA,alexajo01,90465,2010-11,2011,2010,New Orleans Hornets
NBA,alexavi01,750000,1991-92,1992,1991,Golden State Warriors
NBA,alexavi01,942000,1992-93,1993,1992,Golden State Warriors
NBA,alexavi01,1160000,1993-94,1994,1993,Golden State Warriors
NBA,alexavi01,1377500,1994-95,1995,1994,Golden State Warriors
NBA,alexavi01,1595000,1995-96,1996,1995,Toronto Raptors
NBA,alexavi01,653350,2001-02,2002,2001,Detroit Pistons
NBA,alforst01,100000,1987-88,1988,1987,Dallas Mavericks
NBA,alforst01,150000,1988-89,1989,1988,Golden State Warriors
NBA,alforst01,250000,1990-91,1991,1990,Dallas Mavericks
NBA,allenja01,1713720,2017-18,2018,2017,Brooklyn Nets
NBA,allenje01,200000,1995-96,1996,1995,Minnesota Timberwolves
NBA,allenje01,247500,1996-97,1997,1996,Indiana Pacers
NBA,allenje01,35000,1997-98,1998,1997,Cleveland Cavaliers
NBA,allenje01,510000,1999-00,2000,1999,Milwaukee Bucks
NBA,allenla01,473604,2011-12,2012,2011,Philadelphia 76ers
NBA,allenla01,3000000,2012-13,2013,2012,Philadelphia 76ers
NBA,allenla01,3060000,2013-14,2014,2013,Philadelphia 76ers
NBA,allenla01,948163,2014-15,2015,2014,Indiana Pacers
NBA,allenla01,3700000,2015-16,2016,2015,Indiana Pacers
NBA,allenla01,4000000,2016-17,2017,2016,Indiana Pacers
NBA,allenma01,332817,2001-02,2002,2001,Miami Heat
NBA,allenma01,512435,2002-03,2003,2002,Miami Heat
NBA,allenma01,1510000,2003-04,2004,2003,Miami Heat
NBA,allenma01,1950625,2004-05,2005,2004,Miami Heat
NBA,allenma01,1670000,2005-06,2006,2005,Chicago Bulls
NBA,allenma01,1803600,2006-07,2007,2006,Chicago Bulls
NBA,allenma01,998398,2007-08,2008,2007,Dallas Mavericks
NBA,allenma01,1300000,2008-09,2009,2008,Milwaukee Bucks
NBA,allenma01,1300000,2009-10,2010,2009,Denver Nuggets
NBA,allenma01,1229255,2010-11,2011,2010,Orlando Magic
NBA,allenra02,1785000,1996-97,1997,1996,Milwaukee Bucks
NBA,allenra02,2052360,1997-98,1998,1997,Milwaukee Bucks
NBA,allenra02,2320000,1998-99,1999,1998,Milwaukee Bucks
NBA,allenra02,9000000,1999-00,2000,1999,Milwaukee Bucks
NBA,allenra02,10130000,2000-01,2001,2000,Milwaukee Bucks
NBA,allenra02,11250000,2001-02,2002,2001,Milwaukee Bucks
NBA,allenra02,12375000,2002-03,2003,2002,Milwaukee Bucks
NBA,allenra02,13500000,2003-04,2004,2003,Seattle SuperSonics
NBA,allenra02,14625000,2004-05,2005,2004,Seattle SuperSonics
NBA,allenra02,13223140,2005-06,2006,2005,Seattle SuperSonics
NBA,allenra02,14611570,2006-07,2007,2006,Seattle SuperSonics
NBA,allenra02,16000000,2007-08,2008,2007,Boston Celtics
NBA,allenra02,18388430,2008-09,2009,2008,Boston Celtics
NBA,allenra02,18776860,2009-10,2010,2009,Boston Celtics
NBA,allenra02,10000000,2010-11,2011,2010,Boston Celtics
NBA,allenra02,10000000,2011-12,2012,2011,Boston Celtics
NBA,allenra02,3090000,2012-13,2013,2012,Miami Heat
NBA,allenra02,3229050,2013-14,2014,2013,Miami Heat
NBA,allento01,901920,2004-05,2005,2004,Boston Celtics
NBA,allento01,969696,2005-06,2006,2005,Boston Celtics
NBA,allento01,1037280,2006-07,2007,2006,Boston Celtics
NBA,allento01,1868141,2007-08,2008,2007,Boston Celtics
NBA,allento01,2500000,2008-09,2009,2008,Boston Celtics
NBA,allento01,2500000,2009-10,2010,2009,Boston Celtics
NBA,allento01,3000000,2010-11,2011,2010,Memphis Grizzlies
NBA,allento01,3150000,2011-12,2012,2011,Memphis Grizzlies
NBA,allento01,3300000,2012-13,2013,2012,Memphis Grizzlies
NBA,allento01,4494382,2013-14,2014,2013,Memphis Grizzlies
NBA,allento01,4831461,2014-15,2015,2014,Memphis Grizzlies
NBA,allento01,5168539,2015-16,2016,2015,Memphis Grizzlies
NBA,allento01,5505618,2016-17,2017,2016,Memphis Grizzlies
NBA,allento01,1471382,2017-18,2018,2017,Chicago Bulls
NBA,almonmo01,1005960,2007-08,2008,2007,Utah Jazz
NBA,almonmo01,1081440,2008-09,2009,2008,Utah Jazz
NBA,alstode01,150000,1994-95,1995,1994,Philadelphia 76ers
NBA,alstode01,350000,1995-96,1996,1995,Philadelphia 76ers
NBA,alstora01,301875,1999-00,2000,1999,Milwaukee Bucks
NBA,alstora01,423500,2000-01,2001,2000,Milwaukee Bucks
NBA,alstora01,625000,2001-02,2002,2001,Milwaukee Bucks
NBA,alstora01,37344,2002-03,2003,2002,Toronto Raptors
NBA,alstora01,688679,2003-04,2004,2003,Miami Heat
NBA,alstora01,3500000,2004-05,2005,2004,Toronto Raptors
NBA,alstora01,3850000,2005-06,2006,2005,Houston Rockets
NBA,alstora01,4200000,2006-07,2007,2006,Houston Rockets
NBA,alstora01,4550000,2007-08,2008,2007,Houston Rockets
NBA,alstora01,4900000,2008-09,2009,2008,Orlando Magic
NBA,alstora01,4300000,2009-10,2010,2009,New Jersey Nets
NBA,alstora01,753133,2009-10,2010,2009,Miami Heat
NBA,amaecjo01,200000,1995-96,1996,1995,Cleveland Cavaliers
NBA,amaecjo01,385000,1999-00,2000,1999,Orlando Magic
NBA,amaecjo01,600000,2000-01,2001,2000,Orlando Magic
NBA,amaecjo01,2175000,2001-02,2002,2001,Utah Jazz
NBA,amaecjo01,2392500,2002-03,2003,2002,Utah Jazz
NBA,amaecjo01,2610000,2003-04,2004,2003,New York Knicks
NBA,amaecjo01,1200000,2004-05,2005,2004,New York Knicks
NBA,amayaas01,225000,1995-96,1996,1995,Vancouver Grizzlies
NBA,amayaas01,247500,1996-97,1997,1996,Washington Bullets
NBA,aminual01,2563320,2010-11,2011,2010,Los Angeles Clippers
NBA,aminual01,2755560,2011-12,2012,2011,New Orleans Hornets
NBA,aminual01,2947800,2012-13,2013,2012,New Orleans Hornets
NBA,aminual01,3700000,2013-14,2014,2013,New Orleans Pelicans
NBA,aminual01,981084,2014-15,2015,2014,Dallas Mavericks
NBA,aminual01,7500000,2015-16,2016,2015,Portland Trail Blazers
NBA,aminual01,7680965,2016-17,2017,2016,Portland Trail Blazers
NBA,aminual01,7319035,2017-18,2018,2017,Portland Trail Blazers
NBA,amundlo01,105696,2006-07,2007,2006,Philadelphia 76ers
NBA,amundlo01,75000,2006-07,2007,2006,Sacramento Kings
NBA,amundlo01,35232,2006-07,2007,2006,Utah Jazz
NBA,amundlo01,687456,2007-08,2008,2007,Philadelphia 76ers
NBA,amundlo01,797581,2008-09,2009,2008,Phoenix Suns
NBA,amundlo01,855189,2009-10,2010,2009,Phoenix Suns
NBA,amundlo01,2225000,2010-11,2011,2010,Golden State Warriors
NBA,amundlo01,2403000,2011-12,2012,2011,Indiana Pacers
NBA,amundlo01,1069509,2012-13,2013,2012,Minnesota Timberwolves
NBA,amundlo01,409167,2014-15,2015,2014,New York Knicks
NBA,amundlo01,1650000,2015-16,2016,2015,New York Knicks
NBA,amundlo01,1551659,2016-17,2017,2016,New York Knicks
NBA,anderch01,288171,2001-02,2002,2001,Denver Nuggets
NBA,anderch01,512435,2002-03,2003,2002,Denver Nuggets
NBA,anderch01,638679,2003-04,2004,2003,Denver Nuggets
NBA,anderch01,1600000,2004-05,2005,2004,New Orleans Hornets
NBA,anderch01,3500000,2005-06,2006,2005,New Orleans/Oklahoma City Hornets
NBA,anderch01,998398,2008-09,2009,2008,Denver Nuggets
NBA,anderch01,3650000,2009-10,2010,2009,Denver Nuggets
NBA,anderch01,4533300,2010-11,2011,2010,Denver Nuggets
NBA,anderch01,4234000,2011-12,2012,2011,Denver Nuggets
NBA,anderch01,4526000,2012-13,2013,2012,Denver Nuggets
NBA,anderch01,699952,2012-13,2013,2012,Miami Heat
NBA,anderch01,1399507,2013-14,2014,2013,Miami Heat
NBA,anderch01,5375000,2014-15,2015,2014,Miami Heat
NBA,anderch01,5000000,2015-16,2016,2015,Memphis Grizzlies
NBA,anderch01,1551659,2016-17,2017,2016,Charlotte Hornets
NBA,anderda03,2300000,2009-10,2010,2009,Houston Rockets
NBA,anderda03,2500000,2010-11,2011,2010,New Orleans Hornets
NBA,anderal01,398762,2005-06,2006,2005,Charlotte Bobcats
NBA,anderal01,102131,2006-07,2007,2006,Charlotte Bobcats
NBA,anderal01,885120,2012-13,2013,2012,Toronto Raptors
NBA,anderal01,947907,2013-14,2014,2013,Brooklyn Nets
NBA,anderal01,1276061,2014-15,2015,2014,Brooklyn Nets
NBA,anderal01,4000000,2015-16,2016,2015,Washington Wizards
NBA,anderal01,1315448,2016-17,2017,2016,Los Angeles Clippers
NBA,anderde01,1107240,1997-98,1998,1997,Cleveland Cavaliers
NBA,anderde01,1273000,1998-99,1999,1998,Cleveland Cavaliers
NBA,anderde01,1439400,1999-00,2000,1999,Los Angeles Clippers
NBA,anderde01,2250000,2000-01,2001,2000,San Antonio Spurs
NBA,anderde01,6495000,2001-02,2002,2001,Portland Trail Blazers
NBA,anderde01,7144500,2002-03,2003,2002,Portland Trail Blazers
NBA,anderde01,7794000,2003-04,2004,2003,Portland Trail Blazers
NBA,anderde01,8443500,2004-05,2005,2004,Portland Trail Blazers
NBA,anderde01,9093000,2005-06,2006,2005,Portland Trail Blazers
NBA,anderde01,1670000,2005-06,2006,2005,Houston Rockets
NBA,anderde01,9742500,2006-07,2007,2006,Portland Trail Blazers
NBA,anderde01,901397,2006-07,2007,2006,Charlotte Bobcats
NBA,anderde01,400000,2006-07,2007,2006,Miami Heat
NBA,anderde01,1219590,2007-08,2008,2007,Charlotte Bobcats
NBA,anderer01,140000,1992-93,1993,1992,New York Knicks
NBA,anderer01,250000,1993-94,1994,1993,New York Knicks
NBA,andergr01,185000,1987-88,1988,1987,San Antonio Spurs
NBA,andergr01,200000,1988-89,1989,1988,San Antonio Spurs
NBA,andergr01,1365000,1990-91,1991,1990,Denver Nuggets
NBA,andergr01,1465000,1991-92,1992,1991,Denver Nuggets
NBA,andergr01,650000,1993-94,1994,1993,Detroit Pistons
NBA,andergr01,400000,1994-95,1995,1994,Detroit Pistons
NBA,andergr01,110000,1994-95,1995,1994,Atlanta Hawks
NBA,andergr01,485000,1995-96,1996,1995,San Antonio Spurs
NBA,andergr01,584000,1996-97,1997,1996,San Antonio Spurs
NBA,andergr01,272250,1997-98,1998,1997,Atlanta Hawks
NBA,anderja01,1361400,2010-11,2011,2010,San Antonio Spurs
NBA,anderja01,1463520,2011-12,2012,2011,San Antonio Spurs
NBA,anderja01,472427,2012-13,2013,2012,Houston Rockets
NBA,anderja01,145749,2012-13,2013,2012,San Antonio Spurs
NBA,anderja01,916099,2013-14,2014,2013,Philadelphia 76ers
NBA,anderja01,1015421,2015-16,2016,2015,Sacramento Kings
NBA,anderju01,1449000,2015-16,2016,2015,Dallas Mavericks
NBA,anderju01,1514160,2016-17,2017,2016,Philadelphia 76ers
NBA,anderju01,1579440,2017-18,2018,2017,Philadelphia 76ers
NBA,anderke01,1828000,1991-92,1992,1991,New Jersey Nets
NBA,anderke01,2376000,1992-93,1993,1992,New Jersey Nets
NBA,anderke01,2925000,1993-94,1994,1993,New Jersey Nets
NBA,anderke01,3463200,1994-95,1995,1994,New Jersey Nets
NBA,anderke01,3898000,1995-96,1996,1995,New Jersey Nets
NBA,anderke01,4175000,1996-97,1997,1996,Portland Trail Blazers
NBA,anderke01,5010000,1997-98,1998,1997,Portland Trail Blazers
NBA,anderke01,5845000,1998-99,1999,1998,Boston Celtics
NBA,anderke01,6680000,1999-00,2000,1999,Boston Celtics
NBA,anderke01,7520000,2000-01,2001,2000,Boston Celtics
NBA,anderke01,8350000,2001-02,2002,2001,Boston Celtics
NBA,anderke01,9185000,2002-03,2003,2002,Seattle SuperSonics
NBA,anderke01,1070000,2003-04,2004,2003,Indiana Pacers
NBA,anderke01,1100000,2004-05,2005,2004,Atlanta Hawks
NBA,anderky01,1093680,2014-15,2015,2014,San Antonio Spurs
NBA,anderky01,1142879,2015-16,2016,2015,San Antonio Spurs
NBA,anderky01,1192080,2016-17,2017,2016,San Antonio Spurs
NBA,anderky01,2151704,2017-18,2018,2017,San Antonio Spurs
NBA,anderni01,725000,1990-91,1991,1990,Orlando Magic
NBA,anderni01,750000,1991-92,1992,1991,Orlando Magic
NBA,anderni01,800000,1992-93,1993,1992,Orlando Magic
NBA,anderni01,2670000,1993-94,1994,1993,Orlando Magic
NBA,anderni01,3090000,1994-95,1995,1994,Orlando Magic
NBA,anderni01,3200000,1995-96,1996,1995,Orlando Magic
NBA,anderni01,3790000,1996-97,1997,1996,Orlando Magic
NBA,anderni01,4000000,1997-98,1998,1997,Orlando Magic
NBA,anderni01,3200000,1998-99,1999,1998,Orlando Magic
NBA,anderni01,5051906,1999-00,2000,1999,Sacramento Kings
NBA,anderni01,3750000,2000-01,2001,2000,Sacramento Kings
NBA,anderni01,5401906,2001-02,2002,2001,Memphis Grizzlies
NBA,anderni01,6101906,2002-03,2003,2002,Cleveland Cavaliers
NBA,anderri01,150000,1987-88,1988,1987,Portland Trail Blazers
NBA,anderri01,375000,1988-89,1989,1988,Portland Trail Blazers
NBA,anderro01,115000,1985-86,1986,1985,Cleveland Cavaliers
NBA,anderro01,200000,1987-88,1988,1987,Indiana Pacers
NBA,anderro01,300000,1988-89,1989,1988,Philadelphia 76ers
NBA,anderro01,425000,1990-91,1991,1990,Philadelphia 76ers
NBA,anderro01,1000000,1991-92,1992,1991,Philadelphia 76ers
NBA,anderro01,950000,1992-93,1993,1992,Philadelphia 76ers
NBA,anderro01,300000,1993-94,1994,1993,Philadelphia 76ers
NBA,anderry01,1225200,2008-09,2009,2008,New Jersey Nets
NBA,anderry01,1317120,2009-10,2010,2009,Orlando Magic
NBA,anderry01,1409040,2010-11,2011,2010,Orlando Magic
NBA,anderry01,2244601,2011-12,2012,2011,Orlando Magic
NBA,anderry01,8700000,2012-13,2013,2012,New Orleans Hornets
NBA,anderry01,8308500,2013-14,2014,2013,New Orleans Pelicans
NBA,anderry01,8491500,2014-15,2015,2014,New Orleans Pelicans
NBA,anderry01,8500000,2015-16,2016,2015,New Orleans Pelicans
NBA,anderry01,18735364,2016-17,2017,2016,Houston Rockets
NBA,anderry01,19578455,2017-18,2018,2017,Houston Rockets
NBA,andersh01,220000,1996-97,1997,1996,Utah Jazz
NBA,andersh01,1200000,1997-98,1998,1997,Utah Jazz
NBA,andersh01,1300000,1998-99,1999,1998,Utah Jazz
NBA,andersh01,2000000,1999-00,2000,1999,Houston Rockets
NBA,andersh01,2200000,2000-01,2001,2000,Houston Rockets
NBA,andersh01,5500000,2001-02,2002,2001,New York Knicks
NBA,andersh01,6100000,2002-03,2003,2002,New York Knicks
NBA,andersh01,6700000,2003-04,2004,2003,New York Knicks
NBA,andersh01,7300000,2004-05,2005,2004,New York Knicks
NBA,andersh01,873699,2004-05,2005,2004,Miami Heat
NBA,andersh01,7900000,2005-06,2006,2005,New York Knicks
NBA,andersh01,1035000,2005-06,2006,2005,Miami Heat
NBA,andersh01,7244726,2006-07,2007,2006,New York Knicks
NBA,anderwi01,500000,1988-89,1989,1988,San Antonio Spurs
NBA,anderwi01,725000,1990-91,1991,1990,San Antonio Spurs
NBA,anderwi01,775000,1991-92,1992,1991,San Antonio Spurs
NBA,anderwi01,2075000,1992-93,1993,1992,San Antonio Spurs
NBA,anderwi01,2075000,1993-94,1994,1993,San Antonio Spurs
NBA,anderwi01,2075000,1994-95,1995,1994,San Antonio Spurs
NBA,anderwi01,2075000,1995-96,1996,1995,Toronto Raptors
NBA,anderwi01,510000,1999-00,2000,1999,Miami Heat
